Brand,Name,Codename,Cores,Clock,Socket,Process,L3Cache,TDP,Released
Intel,Core 2 Duo T7700,Merom,2,2.4 GHz,Socket P,65 nm,N/A,35 W,"May 27th, 2007"
Intel,Core 2 Duo T7800,Merom,2,2.6 GHz,Socket P,65 nm,N/A,35 W,"Sep 27th, 2007"
Intel,Core 2 Duo U7500,Merom,2,1073 MHz,Socket M,65 nm,N/A,10 W,"Apr 27th, 2007"
Intel,Core 2 Duo U7600,Merom,2,1200 MHz,Socket M,65 nm,N/A,10 W,"Apr 27th, 2007"
Intel,Core 2 Duo U7600,Merom,2,1200 MHz,Socket P,65 nm,N/A,10 W,"Apr 27th, 2007"
Intel,Core 2 Duo U7700,Merom,2,1333 MHz,Socket M,65 nm,N/A,10 W,"Dec 27th, 2007"
Intel,Core 2 Extreme QX6800,Kentsfield,4,2.933 GHz,Socket 775,65 nm,N/A,130 W,"Apr 9th, 2007"
Intel,Core 2 Extreme QX6850,Kentsfield,4,3 GHz,Socket 775,65 nm,N/A,130 W,"Jul 15th, 2007"
Intel,Core 2 Extreme QX9650,Yorkfield,4,3 GHz,Socket 775,45 nm,N/A,130 W,"Nov 30th, 2007"
Intel,Core 2 Extreme X7900,Merom XE,2,2.8 GHz,Socket P,65 nm,N/A,44 W,"Aug 1st, 2007"
Intel,Core 2 Quad Q6600 (105W),Kentsfield,4,2.4 GHz,Socket 775,65 nm,N/A,105 W,"Jan 7th, 2007"
Intel,Core 2 Quad Q6600 (95W),Kentsfield,4,2.4 GHz,Socket 775,65 nm,N/A,95 W,"Jul 23rd, 2007"
Intel,Core 2 Quad Q6700,Kentsfield,4,2.666 GHz,Socket 775,65 nm,N/A,95 W,"Apr 20th, 2007"
Intel,Core 2 Solo ULV U2100,Merom-L,1,1067 MHz,BGA 956,65 nm,N/A,5 W,"Sep 1st, 2007"
Intel,Core 2 Solo ULV U2200,Merom-L,1,1200 MHz,BGA 956,65 nm,N/A,5 W,"Sep 1st, 2007"
Intel,Pentium D 935,Presler,2,3.2 GHz,Socket 775,65 nm,N/A,95 W,"Jan 1st, 2007"
Intel,Pentium Dual-Core E2140,Allendale,2,1600 MHz,Socket 775,65 nm,N/A,65 W,"Jun 3rd, 2007"
Intel,Pentium Dual-Core E2160,Allendale,2,1800 MHz,Socket 775,65 nm,N/A,65 W,"Jun 3rd, 2007"
Intel,Pentium Dual-Core E2180,Allendale,2,2000 MHz,Socket 775,65 nm,N/A,65 W,"Aug 26th, 2007"
Intel,Pentium Dual-Core E2200,Allendale,2,2.2 GHz,Socket 775,65 nm,N/A,65 W,"Dec 2nd, 2007"
Intel,Atom 230,Diamondville,1 / 2,1600 MHz,BGA 437,45 nm,N/A,4 W,"Jun 3rd, 2008"
Intel,Atom 330,Diamondville,2 / 4,1600 MHz,BGA 437,45 nm,N/A,8 W,"Jun 3rd, 2008"
Intel,Atom N270,Diamondville,1 / 2,1600 MHz,BGA 437,45 nm,N/A,3 W,"Jun 3rd, 2008"
Intel,Atom N280,Diamondville,1 / 2,1667 MHz,BGA 437,45 nm,N/A,3 W,"Jun 3rd, 2008"
Intel,Atom Z500,Silverthorne,1,800 MHz,BGA 441,45 nm,N/A,1 W,"Apr 2nd, 2008"
Intel,Atom Z510,Silverthorne,1,1100 MHz,BGA 441,45 nm,N/A,2 W,"Apr 2nd, 2008"
Intel,Atom Z520,Silverthorne,1 / 2,1334 MHz,BGA 441,45 nm,N/A,2 W,"Apr 2nd, 2008"
Intel,Atom Z530,Silverthorne,1 / 2,1600 MHz,BGA 441,45 nm,N/A,2 W,"Apr 2nd, 2008"
Intel,Atom Z540,Silverthorne,1 / 2,1867 MHz,BGA 441,45 nm,N/A,2 W,"Apr 2nd, 2008"
Intel,Celeron 445,Conroe-CL,1,1866 MHz,Socket 771,65 nm,N/A,65 W,"May 1st, 2008"
Intel,Celeron 450,Conroe-L,1,2.2 GHz,Socket 775,65 nm,N/A,35 W,"Aug 31st, 2008"
Intel,Celeron E1200,Allendale,2,1600 MHz,Socket 775,65 nm,N/A,65 W,"Jan 20th, 2008"
Intel,Celeron E1400,Allendale,2,2000 MHz,Socket 775,65 nm,N/A,65 W,"Apr 20th, 2008"
Intel,Celeron E1500,Allendale,2,2.2 GHz,Socket 775,65 nm,N/A,65 W,"Nov 30th, 2008"
Intel,Core 2 Duo E4700,Allendale,2,2.6 GHz,Socket 775,65 nm,N/A,65 W,"Mar 2nd, 2008"
Intel,Core 2 Duo E7200,Wolfdale,2,2.533 GHz,Socket 775,45 nm,N/A,65 W,"Apr 20th, 2008"
Intel,Core 2 Duo E7300,Wolfdale,2,2.667 GHz,Socket 775,45 nm,N/A,65 W,"Aug 10th, 2008"
Intel,Core 2 Duo E7400,Wolfdale,2,2.8 GHz,Socket 775,45 nm,N/A,65 W,"Oct 10th, 2008"
Intel,Core 2 Duo E8190,Wolfdale,2,2.667 GHz,Socket 775,45 nm,N/A,65 W,"Jan 1st, 2008"
Intel,Core 2 Duo E8200,Wolfdale,2,2.667 GHz,Socket 775,45 nm,N/A,65 W,"Jan 1st, 2008"
Intel,Core 2 Duo E8300,Wolfdale,2,2.833 GHz,Socket 775,45 nm,N/A,65 W,"Apr 1st, 2008"
Intel,Core 2 Duo E8400,Wolfdale,2,3 GHz,Socket 775,45 nm,N/A,65 W,"Jan 1st, 2008"
Intel,Core 2 Duo E8500,Wolfdale,2,3.166 GHz,Socket 775,45 nm,N/A,65 W,"Jan 1st, 2008"
Intel,Core 2 Duo E8600,Wolfdale,2,3.333 GHz,Socket 775,45 nm,N/A,65 W,"Aug 8th, 2008"
Intel,Core 2 Duo P8400,Penryn,2,2.267 GHz,Socket P,45 nm,N/A,25 W,"Jun 13th, 2008"
Intel,Core 2 Duo P8600,Penryn,2,2.4 GHz,Socket P,45 nm,N/A,25 W,"Jun 13th, 2008"
Intel,Core 2 Duo P8700,Penryn,2,2.533 GHz,Socket P,45 nm,N/A,25 W,"Dec 28th, 2008"
Intel,Core 2 Duo P8800,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,25 W,"Dec 28th, 2008"
Intel,Core 2 Duo P9500,Penryn,2,2.533 GHz,Socket P,45 nm,N/A,25 W,"Jul 15th, 2008"
Intel,Core 2 Duo P9600,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,25 W,"Dec 28th, 2008"
Intel,Core 2 Duo T8100,Penryn,2,2.1 GHz,Socket P,45 nm,N/A,35 W,"Jan 7th, 2008"
